iter	Logloss
0	0.6709246009
1	0.6554612754
2	0.6464831687
3	0.6408120773
4	0.6339209534
5	0.6288454038
6	0.6263786946
7	0.6235974925
8	0.6203559165
9	0.619049234
10	0.6183234291
11	0.6153837883
12	0.6137104259
13	0.6114444979
14	0.609964383
15	0.6093197331
16	0.6079377617
17	0.6036328358
18	0.6030700854
19	0.6011113708
20	0.5984455309
21	0.5979585798
22	0.5974795235
23	0.596373826
24	0.5956770557
25	0.5928352155
26	0.5921066699
27	0.5914680499
28	0.5891661615
29	0.5862343505
30	0.5856800911
31	0.5851423424
32	0.584458633
33	0.583866506
34	0.5834439255
35	0.5821406706
36	0.5809651087
37	0.5798615811
38	0.5794283623
39	0.5778981861
40	0.5775976876
41	0.5755650687
42	0.5751300387
43	0.5744324422
44	0.5738004138
45	0.5722869295
46	0.5719579219
47	0.5714741291
48	0.5706192514
49	0.5702234818
50	0.5699087074
51	0.5686622304
52	0.5683858875
53	0.5680483993
54	0.5676514829
55	0.5671430457
56	0.5663391986
57	0.5644264422
58	0.563837982
59	0.5635062836
60	0.5630752133
61	0.5618218794
62	0.5611282564
63	0.5602913218
64	0.5598792799
65	0.5595635123
66	0.5591785526
67	0.5588291349
68	0.557701091
69	0.5565377214
70	0.5553360057
71	0.5539032914
72	0.5532188265
73	0.5528923643
74	0.5523023278
75	0.5518070086
76	0.5511757904
77	0.5506750826
78	0.5501622614
79	0.5494197547
80	0.5490797094
81	0.5487504992
82	0.5484349903
83	0.5481883611
84	0.5478766379
85	0.5475988694
86	0.5472688573
87	0.546359174
88	0.546005126
89	0.5452447412
90	0.5444619955
91	0.5440864127
92	0.5436067792
93	0.5433089214
94	0.5429123341
95	0.542273937
96	0.541959694
97	0.5416081568
98	0.5411561084
99	0.540882633
100	0.5405890489
101	0.5398188235
102	0.5395356683
103	0.5392467698
104	0.5389096233
105	0.538377183
106	0.5380212331
107	0.5377348596
108	0.5371310547
109	0.5366935664
110	0.536351736
111	0.5360545362
112	0.5357945214
113	0.5355041698
114	0.5352109836
115	0.5350430851
116	0.5347216174
117	0.5344235009
118	0.534101322
119	0.5336859841
120	0.5334523024
121	0.5329664719
122	0.5327636136
123	0.5324930531
124	0.5322120911
125	0.5320121181
126	0.5316241416
127	0.5311404992
128	0.5308979064
129	0.5305074112
130	0.530213057
131	0.5299160136
132	0.529680277
133	0.5293661475
134	0.5288382015
135	0.5284632788
136	0.5281698519
137	0.5279961926
138	0.5274780165
139	0.5271085174
140	0.5267981195
141	0.5265522367
142	0.5262468899
143	0.5259451269
144	0.5256466428
145	0.5254066904
146	0.5251474154
147	0.5249506918
148	0.524750965
149	0.5245168188
150	0.524371105
151	0.5241943229
152	0.5239804745
153	0.5237898284
154	0.5236345762
155	0.5233113587
156	0.5228466246
157	0.5225321748
158	0.5221609437
159	0.5219322964
160	0.5217165808
161	0.5214254912
162	0.5207633915
163	0.5205243624
164	0.5202585064
165	0.5201208726
166	0.5198281597
167	0.5195375249
168	0.5193358495
169	0.518965691
170	0.5187532653
171	0.5184475221
172	0.5182553964
173	0.5180630884
174	0.5177982407
175	0.517511558
176	0.5172818106
177	0.5170904664
178	0.5165092278
179	0.5163107659
180	0.5161164007
181	0.5157990877
182	0.5156437427
183	0.5153361697
184	0.5150903661
185	0.5147909294
186	0.5145846288
187	0.5142775349
188	0.5140753252
189	0.5138055329
190	0.5136407139
191	0.5134628351
192	0.5132594859
193	0.5129526579
194	0.5126941487
195	0.5125065566
196	0.5123873887
197	0.512229435
198	0.5120529404
199	0.5118434784
